date,state,positive,negative,pending,hospitalized,death,total,dateChecked
20200312,OH,5,30,52,,,87,2020-03-12T20:00:00Z
20200312,OK,3,36,4,,,43,2020-03-12T20:00:00Z
20200312,OR,19,286,62,,,367,2020-03-12T20:00:00Z
20200312,PA,22,116,81,,,219,2020-03-12T20:00:00Z
20200312,RI,5,94,8,,,107,2020-03-12T20:00:00Z
20200312,SC,10,48,,,,58,2020-03-12T20:00:00Z
20200312,SD,8,27,11,,,46,2020-03-12T20:00:00Z
20200312,TN,18,79,,,,97,2020-03-12T20:00:00Z
20200312,TX,23,,,,,23,2020-03-12T20:00:00Z
20200312,UT,4,131,,,,135,2020-03-12T20:00:00Z
20200312,VA,17,117,,,,134,2020-03-12T20:00:00Z
20200312,VT,2,97,,,,99,2020-03-12T20:00:00Z
20200312,WA,337,3037,,,29,3403,2020-03-12T20:00:00Z
20200312,WI,8,84,,,,92,2020-03-12T20:00:00Z
20200312,WV,0,7,1,,,8,2020-03-12T20:00:00Z
20200312,WY,1,,,,,1,2020-03-12T20:00:00Z
20200311,AK,0,46,14,,,60,2020-03-11T20:00:00Z
20200311,AL,0,10,,,,10,2020-03-11T20:00:00Z
20200311,AR,0,12,14,,,26,2020-03-11T20:00:00Z
20200311,AZ,9,59,32,,,100,2020-03-11T20:00:00Z
20200311,CA,157,916,,,,1073,2020-03-11T20:00:00Z
20200311,CO,28,251,,,,279,2020-03-11T20:00:00Z
20200311,CT,3,71,,,,74,2020-03-11T20:00:00Z
20200311,DC,4,20,15,,,39,2020-03-11T20:00:00Z
20200311,DE,1,17,2,,,20,2020-03-11T20:00:00Z
20200311,FL,28,301,147,,2,476,2020-03-11T20:00:00Z
20200311,GA,22,,,,,22,2020-03-11T20:00:00Z
20200311,HI,2,,,,,2,2020-03-11T20:00:00Z
20200311,IA,13,46,27,,,86,2020-03-11T20:00:00Z
20200311,ID,0,67,,,,67,2020-03-11T20:00:00Z
20200311,IL,19,244,63,,,326,2020-03-11T20:00:00Z
20200311,IN,10,33,,,,43,2020-03-11T20:00:00Z
20200311,KS,1,41,,,,42,2020-03-11T20:00:00Z
20200311,KY,8,46,,,,54,2020-03-11T20:00:00Z
20200311,LA,6,37,,,,43,2020-03-11T20:00:00Z
20200311,MA,92,,,,,92,2020-03-11T20:00:00Z
20200311,MD,9,94,,,,103,2020-03-11T20:00:00Z
20200311,ME,0,42,5,,,47,2020-03-11T20:00:00Z
20200311,MI,2,57,18,,,77,2020-03-11T20:00:00Z
20200311,MN,5,217,,,,222,2020-03-11T20:00:00Z
20200311,MO,1,,,,,1,2020-03-11T20:00:00Z
20200311,MS,0,20,,,,20,2020-03-11T20:00:00Z
20200311,MT,0,21,,,,21,2020-03-11T20:00:00Z
20200311,NC,7,,,,,7,2020-03-11T20:00:00Z
20200311,ND,0,7,6,,,13,2020-03-11T20:00:00Z
20200311,NE,5,47,16,,,68,2020-03-11T20:00:00Z
20200311,NH,4,38,5,,,47,2020-03-11T20:00:00Z
20200311,NJ,24,57,20,,1,100,2020-03-11T20:00:00Z
20200311,NM,3,87,,,,90,2020-03-11T20:00:00Z
20200311,NV,5,168,,,,173,2020-03-11T20:00:00Z
20200311,NY,216,,,,,216,2020-03-11T20:00:00Z
20200311,OH,4,21,24,,,49,2020-03-11T20:00:00Z
20200311,OK,2,15,11,,,28,2020-03-11T20:00:00Z
20200311,OR,19,286,62,,,367,2020-03-11T20:00:00Z
20200311,PA,15,88,54,,,157,2020-03-11T20:00:00Z
20200311,RI,5,58,24,,,87,2020-03-11T20:00:00Z
20200311,SC,9,32,,,,41,2020-03-11T20:00:00Z
20200311,SD,5,13,2,,,20,2020-03-11T20:00:00Z
20200311,TN,7,50,,,,57,2020-03-11T20:00:00Z
20200311,TX,21,,,,,21,2020-03-11T20:00:00Z
20200311,UT,2,,,,,2,2020-03-11T20:00:00Z
20200311,VA,9,60,,,,69,2020-03-11T20:00:00Z
20200311,VT,1,62,,,,63,2020-03-11T20:00:00Z
20200311,WA,267,2175,,,24,2466,2020-03-11T20:00:00Z
20200311,WI,3,43,,,,46,2020-03-11T20:00:00Z
20200311,WV,0,3,2,,,5,2020-03-11T20:00:00Z
20200311,WY,0,,,,,0,2020-03-11T20:00:00Z
20200310,AK,0,23,9,,,32,2020-03-10T20:00:00Z
20200310,AL,0,0,0,,,0,2020-03-10T20:00:00Z
20200310,AR,0,12,3,,,15,2020-03-10T20:00:00Z
20200310,AZ,6,51,27,,,84,2020-03-10T20:00:00Z
20200310,CA,133,690,,,,823,2020-03-10T20:00:00Z
20200310,CO,12,142,1,,,155,2020-03-10T20:00:00Z
20200310,CT,2,54,,,,56,2020-03-10T20:00:00Z
20200310,DC,5,17,2,,,24,2020-03-10T20:00:00Z
20200310,DE,0,17,3,,,20,2020-03-10T20:00:00Z
20200310,FL,19,222,155,,,396,2020-03-10T20:00:00Z
20200310,GA,17,,,,,17,2020-03-10T20:00:00Z
20200310,HI,2,,,,,2,2020-03-10T20:00:00Z
20200310,IA,8,32,11,,,51,2020-03-10T20:00:00Z
20200310,ID,0,41,,,,41,2020-03-10T20:00:00Z
20200310,IL,19,244,63,,,326,2020-03-10T20:00:00Z
20200310,IN,6,30,,,,36,2020-03-10T20:00:00Z
20200310,KS,1,17,21,,,39,2020-03-10T20:00:00Z
20200310,KY,6,28,,,,34,2020-03-10T20:00:00Z
20200310,LA,1,11,,,,12,2020-03-10T20:00:00Z
20200310,MA,92,,,,,92,2020-03-10T20:00:00Z
